Id,Name,School,Gender,Part Time Job,Absence Days,Extracurricular Activities,Weekly Self Study Hours,Career Aspiration,Math Score,History Score,Physics Score,Chemistry Score,Biology Score,English Score,Geography Score,,Id,Name,Email,School,Column1,Gender,Part Time Job,Absence Days,Extracurricular Activities,Weekly Self Study Hours,Career Aspiration,Math Score,History Score,Physics Score,Chemistry Score,Biology Score,English Score,Geography Score
524,William Alvarado,Digital Fortress,M,TRUE,2,FALSE,0,Business Owner,87,95,78,82,53,59,66,,,,,,,,,,,,,,,,,,,
525,Michael Mercer,Digital Fortress,M,FALSE,5,FALSE,22,Banker,97,87,90,70,96,75,93,,,,,,,,,,,,,,,,,,,
526,Erin Miller,Gsling Academy,F,TRUE,8,FALSE,3,Business Owner,92,96,77,95,63,57,90,,,,,,,,,,,,,,,,,,,
527,Robert Heath,Digital Fortress,M,FALSE,2,FALSE,25,Unknown,72,91,68,79,98,71,89,,,,,,,,,,,,,,,,,,,
528,Deborah Rojas,Digital Fortress,F,FALSE,3,TRUE,1,Business Owner,50,55,96,72,55,50,64,,,,,,,,,,,,,,,,,,,
529,Diana Jones,Gsling Academy,F,FALSE,7,FALSE,37,Doctor,97,96,93,94,91,96,87,,,,,,,,,,,,,,,,,,,
530,Meredith Clark,Digital Fortress,F,FALSE,3,TRUE,28,Software Engineer,89,77,69,72,63,84,99,,,,,,,,,,,,,,,,,,,
531,Christina Garrett,Gsling Academy,F,FALSE,3,FALSE,30,Scientist,77,76,90,95,94,99,94,,,,,,,,,,,,,,,,,,,
532,Daniel Jackson,Digital Fortress,M,FALSE,1,FALSE,19,Stock Investor,91,89,66,69,100,88,79,,,,,,,,,,,,,,,,,,,
533,Bradley Robinson,Gsling Academy,M,TRUE,7,FALSE,2,Business Owner,64,92,70,81,85,55,76,,,,,,,,,,,,,,,,,,,
534,Phyllis Schneider,Digital Fortress,F,TRUE,4,FALSE,26,Unknown,71,87,63,73,89,77,66,,,,,,,,,,,,,,,,,,,
535,Thomas Clark,Gsling Academy,M,FALSE,10,TRUE,0,Business Owner,56,79,74,66,92,57,61,,,,,,,,,,,,,,,,,,,
536,Gregory Gonzalez,Gsling Academy,M,FALSE,4,FALSE,5,Game Developer,87,70,98,64,65,78,83,,,,,,,,,,,,,,,,,,,
537,Michelle Roth,Digital Fortress,F,FALSE,0,FALSE,17,Software Engineer,99,69,85,91,77,88,75,,,,,,,,,,,,,,,,,,,
538,Christopher Murphy,Gsling Academy,M,FALSE,2,FALSE,26,Lawyer,98,88,76,72,92,81,89,,,,,,,,,,,,,,,,,,,
539,Mark Davis,Digital Fortress,M,FALSE,2,FALSE,32,Unknown,87,83,74,61,81,72,98,,,,,,,,,,,,,,,,,,,
540,Lauren Harrington,Gsling Academy,F,FALSE,6,TRUE,16,Software Engineer,88,96,90,92,68,97,73,,,,,,,,,,,,,,,,,,,
541,Michelle Owens,Digital Fortress,F,TRUE,8,FALSE,2,Business Owner,71,52,53,64,89,76,70,,,,,,,,,,,,,,,,,,,
542,Scott Weaver,Gsling Academy,M,FALSE,2,FALSE,35,Construction Engineer,96,90,91,95,99,95,99,,,,,,,,,,,,,,,,,,,
543,Monica Williams,Gsling Academy,F,FALSE,0,FALSE,17,Accountant,81,95,99,65,56,79,98,,,,,,,,,,,,,,,,,,,
544,Kathryn Hampton,Gsling Academy,F,FALSE,9,FALSE,3,Business Owner,94,92,63,84,79,66,96,,,,,,,,,,,,,,,,,,,
545,Christina Shields,Digital Fortress,F,TRUE,3,FALSE,47,Doctor,94,87,98,90,92,88,100,,,,,,,,,,,,,,,,,,,
546,Andrew Thomas,Gsling Academy,M,FALSE,0,FALSE,29,Lawyer,98,87,75,63,85,88,75,,,,,,,,,,,,,,,,,,,
547,Holly Sexton,Gsling Academy,F,FALSE,10,FALSE,5,Business Owner,100,58,54,97,58,51,80,,,,,,,,,,,,,,,,,,,
548,Christopher Peterson,Digital Fortress,M,FALSE,3,TRUE,12,Designer,66,89,65,99,84,84,86,,,,,,,,,,,,,,,,,,,
549,Eric Murray,Digital Fortress,M,FALSE,2,FALSE,35,Doctor,94,99,97,94,85,97,97,,,,,,,,,,,,,,,,,,,
550,Kristina Watson,Digital Fortress,F,TRUE,0,FALSE,3,Game Developer,83,90,93,89,64,63,82,,,,,,,,,,,,,,,,,,,
551,Greg Martin,Gsling Academy,M,TRUE,8,FALSE,2,Business Owner,92,54,50,88,90,91,95,,,,,,,,,,,,,,,,,,,
552,Paul Shaffer,Digital Fortress,M,FALSE,10,FALSE,35,Software Engineer,93,100,90,94,97,98,98,,,,,,,,,,,,,,,,,,,
553,Alexander Daniel,Digital Fortress,M,TRUE,1,FALSE,7,Government Officer,69,92,84,98,98,83,87,,,,,,,,,,,,,,,,,,,
554,Carla Davis,Gsling Academy,F,FALSE,4,FALSE,15,Software Engineer,94,71,63,73,66,90,91,,,,,,,,,,,,,,,,,,,
555,Chelsea Clark,Gsling Academy,F,FALSE,1,FALSE,3,Stock Investor,100,92,95,90,67,81,66,,,,,,,,,,,,,,,,,,,
556,Justin Douglas,Gsling Academy,M,FALSE,2,FALSE,35,Unknown,96,92,98,100,94,93,86,,,,,,,,,,,,,,,,,,,
557,Charles Reid,Digital Fortress,M,FALSE,3,TRUE,28,Lawyer,76,87,99,69,89,93,85,,,,,,,,,,,,,,,,,,,
558,Courtney Moreno,Gsling Academy,F,FALSE,9,FALSE,4,Business Owner,77,62,94,65,77,77,95,,,,,,,,,,,,,,,,,,,
559,Justin Mitchell,Digital Fortress,M,FALSE,1,TRUE,4,Artist,84,67,79,60,69,80,98,,,,,,,,,,,,,,,,,,,
560,Bruce Woods,Digital Fortress,M,FALSE,3,TRUE,16,Software Engineer,95,61,68,75,64,76,66,,,,,,,,,,,,,,,,,,,
561,Christopher Hines,Digital Fortress,M,FALSE,1,FALSE,26,Accountant,90,64,94,84,66,61,72,,,,,,,,,,,,,,,,,,,
562,Theodore Williams,Digital Fortress,M,FALSE,3,FALSE,30,Unknown,96,89,73,75,99,89,71,,,,,,,,,,,,,,,,,,,
563,Jennifer Valdez,Gsling Academy,F,TRUE,6,FALSE,2,Business Owner,80,81,92,73,71,71,84,,,,,,,,,,,,,,,,,,,
564,Alexandra Day,Gsling Academy,F,FALSE,2,FALSE,34,Software Engineer,87,83,75,73,92,91,71,,,,,,,,,,,,,,,,,,,
565,John Pacheco,Gsling Academy,M,FALSE,10,FALSE,0,Business Owner,94,75,91,64,67,93,65,,,,,,,,,,,,,,,,,,,
566,Sherry Brown,Digital Fortress,F,FALSE,10,TRUE,3,Artist,87,82,88,100,73,96,75,,,,,,,,,,,,,,,,,,,
567,Douglas Clark,Digital Fortress,M,FALSE,2,FALSE,30,Software Engineer,95,97,88,77,96,96,74,,,,,,,,,,,,,,,,,,,
568,Alex Farmer,Digital Fortress,M,TRUE,3,TRUE,15,Construction Engineer,85,96,82,64,82,94,81,,,,,,,,,,,,,,,,,,,
569,Brandon Gonzales,Gsling Academy,M,FALSE,8,TRUE,1,Business Owner,67,65,77,72,94,88,77,,,,,,,,,,,,,,,,,,,
570,Wayne Trevino,Digital Fortress,M,FALSE,3,TRUE,6,Government Officer,84,100,92,82,85,70,69,,,,,,,,,,,,,,,,,,,
571,Pamela Horne,Gsling Academy,F,FALSE,7,TRUE,1,Game Developer,83,88,90,100,71,98,96,,,,,,,,,,,,,,,,,,,
572,Michael Schaefer,Gsling Academy,M,TRUE,9,TRUE,5,Business Owner,67,78,68,51,77,72,78,,,,,,,,,,,,,,,,,,,
573,Carlos Ramirez,Gsling Academy,M,FALSE,1,FALSE,30,Banker,75,92,72,88,92,77,84,,,,,,,,,,,,,,,,,,,
574,Antonio Lucero,Gsling Academy,M,FALSE,3,TRUE,8,Government Officer,67,76,70,73,81,85,80,,,,,,,,,,,,,,,,,,,
575,Terry Ashley,Digital Fortress,M,TRUE,9,FALSE,5,Business Owner,67,54,51,72,75,60,88,,,,,,,,,,,,,,,,,,,
576,Rita Cochran,Digital Fortress,F,FALSE,1,FALSE,5,Artist,72,91,78,97,86,93,77,,,,,,,,,,,,,,,,,,,
577,Joseph Gregory,Gsling Academy,M,FALSE,4,FALSE,4,Government Officer,78,98,76,68,86,91,82,,,,,,,,,,,,,,,,,,,
578,Alexandra Robinson,Digital Fortress,F,FALSE,1,FALSE,47,Doctor,85,87,92,96,92,90,88,,,,,,,,,,,,,,,,,,,
579,Tina Sparks,Digital Fortress,F,FALSE,3,TRUE,16,Stock Investor,100,70,69,61,100,65,81,,,,,,,,,,,,,,,,,,,
580,Christopher Buchanan,Digital Fortress,M,TRUE,5,FALSE,3,Business Owner,56,59,89,68,79,83,68,,,,,,,,,,,,,,,,,,,
581,Christina Guerrero,Digital Fortress,F,FALSE,5,TRUE,32,Scientist,93,75,83,99,100,91,74,,,,,,,,,,,,,,,,,,,
582,Jessica Hutchinson,Gsling Academy,F,FALSE,2,FALSE,31,Banker,89,91,85,69,76,92,94,,,,,,,,,,,,,,,,,,,
583,Tyler Carrillo,Gsling Academy,M,FALSE,3,FALSE,6,Real Estate Developer,59,88,74,92,72,97,64,,,,,,,,,,,,,,,,,,,
584,Lindsay Brady,Gsling Academy,F,FALSE,3,FALSE,16,Unknown,99,70,74,65,99,74,62,,,,,,,,,,,,,,,,,,,
585,Gary Rivera,Digital Fortress,M,FALSE,6,FALSE,34,Lawyer,89,89,85,74,78,87,82,,,,,,,,,,,,,,,,,,,
586,Luke Moore,Digital Fortress,M,FALSE,3,FALSE,26,Software Engineer,86,63,78,78,80,67,97,,,,,,,,,,,,,,,,,,,
587,Tanya Green,Digital Fortress,F,FALSE,6,FALSE,21,Banker,79,65,91,65,61,88,95,,,,,,,,,,,,,,,,,,,
588,Bryan Lee,Digital Fortress,M,FALSE,3,FALSE,46,Doctor,96,89,91,90,90,91,99,,,,,,,,,,,,,,,,,,,
589,Melanie Bridges,Digital Fortress,F,FALSE,6,FALSE,48,Doctor,95,90,85,90,96,89,96,,,,,,,,,,,,,,,,,,,
590,Eric Bowers,Digital Fortress,M,TRUE,1,FALSE,46,Doctor,96,85,90,95,100,96,88,,,,,,,,,,,,,,,,,,,
591,Meredith Reed,Gsling Academy,F,TRUE,3,FALSE,28,Unknown,95,80,64,97,85,94,60,,,,,,,,,,,,,,,,,,,
592,David Brown,Gsling Academy,M,TRUE,4,FALSE,2,Unknown,80,62,84,95,71,85,87,,,,,,,,,,,,,,,,,,,
593,William Johns,Digital Fortress,M,TRUE,0,FALSE,32,Stock Investor,86,70,73,85,67,91,98,,,,,,,,,,,,,,,,,,,
594,Eric Patton,Digital Fortress,M,TRUE,10,FALSE,5,Business Owner,42,95,99,61,62,77,99,,,,,,,,,,,,,,,,,,,
595,Wendy Warner,Gsling Academy,F,FALSE,4,FALSE,31,Lawyer,80,93,93,94,81,81,78,,,,,,,,,,,,,,,,,,,
596,Timothy Powell,Gsling Academy,M,FALSE,4,TRUE,1,Artist,79,97,100,94,65,62,76,,,,,,,,,,,,,,,,,,,
597,Victoria Thompson,Digital Fortress,F,TRUE,9,TRUE,4,Business Owner,43,63,91,67,74,71,88,,,,,,,,,,,,,,,,,,,
598,Jeremy Brown,Digital Fortress,M,FALSE,2,TRUE,8,Real Estate Developer,58,84,95,66,99,91,70,,,,,,,,,,,,,,,,,,,
599,Barbara Schneider,Digital Fortress,F,FALSE,3,TRUE,23,Accountant,86,73,83,93,46,91,70,,,,,,,,,,,,,,,,,,,
600,Lindsay Morales,Gsling Academy,F,FALSE,1,FALSE,23,Doctor,96,91,97,84,89,82,75,,,,,,,,,,,,,,,,,,,
601,Gary Patel,Gsling Academy,M,FALSE,1,FALSE,28,Lawyer,91,88,98,89,75,91,92,,,,,,,,,,,,,,,,,,,
602,Michelle Ortiz,Digital Fortress,F,FALSE,1,FALSE,7,Unknown,85,62,77,62,80,88,83,,,,,,,,,,,,,,,,,,,
603,Susan Lynch,Digital Fortress,F,FALSE,0,FALSE,5,Artist,87,91,93,92,97,95,99,,,,,,,,,,,,,,,,,,,
604,Tammy Hernandez,Gsling Academy,F,FALSE,2,FALSE,4,Unknown,60,91,85,67,98,61,64,,,,,,,,,,,,,,,,,,,
605,Jennifer Guerra,Gsling Academy,F,FALSE,2,FALSE,26,Unknown,76,85,67,60,100,63,64,,,,,,,,,,,,,,,,,,,
606,Kelly Schwartz,Digital Fortress,F,FALSE,4,TRUE,33,Lawyer,84,89,74,79,86,93,95,,,,,,,,,,,,,,,,,,,
607,Brittany Orozco,Digital Fortress,F,FALSE,4,TRUE,34,Lawyer,87,94,74,84,77,82,85,,,,,,,,,,,,,,,,,,,
608,Samantha Alvarado,Digital Fortress,F,TRUE,4,FALSE,16,Accountant,82,79,64,75,93,82,60,,,,,,,,,,,,,,,,,,,
609,Christopher Anderson,Gsling Academy,M,FALSE,4,FALSE,3,Business Owner,64,61,73,70,87,75,100,,,,,,,,,,,,,,,,,,,
610,William Smith,Digital Fortress,M,FALSE,3,FALSE,25,Lawyer,77,80,88,84,84,92,82,,,,,,,,,,,,,,,,,,,
611,Courtney Patterson,Gsling Academy,F,FALSE,0,FALSE,4,Stock Investor,86,82,90,69,66,93,94,,,,,,,,,,,,,,,,,,,
612,Kevin Hess,Digital Fortress,M,FALSE,0,FALSE,4,Real Estate Developer,81,84,76,88,84,89,87,,,,,,,,,,,,,,,,,,,
613,Melissa Higgins,Gsling Academy,F,FALSE,3,FALSE,21,Software Engineer,91,90,92,78,67,86,71,,,,,,,,,,,,,,,,,,,
614,Elizabeth Chavez,Gsling Academy,F,FALSE,7,FALSE,4,Business Owner,72,99,61,67,95,98,89,,,,,,,,,,,,,,,,,,,
615,Mary Taylor,Gsling Academy,F,FALSE,3,FALSE,24,Writer,80,70,80,96,72,99,65,,,,,,,,,,,,,,,,,,,
616,Joshua Parker,Digital Fortress,M,FALSE,2,FALSE,16,Unknown,90,89,98,70,79,60,92,,,,,,,,,,,,,,,,,,,
617,Joshua Kelly,Gsling Academy,M,FALSE,10,FALSE,2,Business Owner,72,51,52,98,50,90,63,,,,,,,,,,,,,,,,,,,
618,Travis Ross,Digital Fortress,M,FALSE,3,FALSE,35,Software Engineer,93,85,89,93,90,91,88,,,,,,,,,,,,,,,,,,,
619,Kenneth Buchanan,Digital Fortress,M,FALSE,2,FALSE,24,Doctor,95,85,90,94,91,84,85,,,,,,,,,,,,,,,,,,,
620,Ryan Clarke,Digital Fortress,M,FALSE,2,TRUE,46,Doctor,86,93,89,90,100,86,93,,,,,,,,,,,,,,,,,,,
621,Gina Solomon,Digital Fortress,F,FALSE,6,FALSE,1,Business Owner,89,55,89,67,55,64,70,,,,,,,,,,,,,,,,,,,
622,David Madden,Gsling Academy,M,FALSE,5,FALSE,26,Unknown,90,75,67,85,64,95,96,,,,,,,,,,,,,,,,,,,
623,William Brennan,Digital Fortress,M,FALSE,1,FALSE,5,Unknown,79,95,81,67,66,71,66,,,,,,,,,,,,,,,,,,,
624,Judy Mckenzie,Gsling Academy,F,TRUE,5,FALSE,17,Teacher,86,88,98,66,62,95,90,,,,,,,,,,,,,,,,,,,
625,Logan Lindsey,Digital Fortress,M,FALSE,3,FALSE,4,Artist,83,78,68,72,77,89,70,,,,,,,,,,,,,,,,,,,
626,Kyle Williams,Digital Fortress,M,FALSE,6,FALSE,27,Lawyer,85,92,62,95,65,89,95,,,,,,,,,,,,,,,,,,,
627,Mark Padilla,Gsling Academy,M,FALSE,3,FALSE,0,Artist,66,78,86,87,64,65,64,,,,,,,,,,,,,,,,,,,
628,Eugene Clark,Gsling Academy,M,FALSE,6,TRUE,16,Accountant,93,80,60,62,43,68,67,,,,,,,,,,,,,,,,,,,
629,Sean Wagner,Digital Fortress,M,FALSE,6,TRUE,14,Unknown,65,89,79,95,71,61,62,,,,,,,,,,,,,,,,,,,
630,Christine Larson,Gsling Academy,F,TRUE,2,FALSE,5,Real Estate Developer,52,66,98,83,92,82,91,,,,,,,,,,,,,,,,,,,
631,Melinda Freeman,Gsling Academy,F,FALSE,3,TRUE,31,Banker,90,80,84,70,65,89,64,,,,,,,,,,,,,,,,,,,
632,Elizabeth Smith,Digital Fortress,F,FALSE,2,TRUE,4,Artist,83,89,99,100,73,86,88,,,,,,,,,,,,,,,,,,,
633,Walter King,Gsling Academy,M,FALSE,1,FALSE,5,Artist,62,89,72,68,85,80,75,,,,,,,,,,,,,,,,,,,
634,Lisa Bean,Digital Fortress,F,FALSE,1,FALSE,11,Writer,98,72,99,84,60,95,93,,,,,,,,,,,,,,,,,,,
635,Douglas Hayes,Gsling Academy,M,FALSE,8,TRUE,12,Unknown,76,75,74,67,76,82,79,,,,,,,,,,,,,,,,,,,
636,Heather Jefferson,Digital Fortress,F,FALSE,0,FALSE,5,Game Developer,97,62,98,70,67,71,70,,,,,,,,,,,,,,,,,,,
637,Melinda Byrd,Gsling Academy,F,TRUE,6,FALSE,1,Business Owner,63,60,95,99,87,58,66,,,,,,,,,,,,,,,,,,,
638,Alexander Burnett,Gsling Academy,M,FALSE,5,FALSE,2,Artist,98,99,64,88,72,87,99,,,,,,,,,,,,,,,,,,,
639,Maria Campos,Digital Fortress,F,TRUE,10,FALSE,1,Business Owner,78,84,84,61,88,67,92,,,,,,,,,,,,,,,,,,,
640,Lindsey Anthony,Gsling Academy,F,FALSE,2,TRUE,30,Stock Investor,85,77,89,77,84,71,71,,,,,,,,,,,,,,,,,,,
641,Darryl Schultz,Digital Fortress,M,FALSE,6,FALSE,0,Business Owner,59,100,84,93,70,56,74,,,,,,,,,,,,,,,,,,,
642,Bethany French,Gsling Academy,F,FALSE,2,TRUE,6,Unknown,99,77,88,60,93,61,96,,,,,,,,,,,,,,,,,,,
643,Tyler Scott,Gsling Academy,M,FALSE,6,TRUE,24,Accountant,76,62,86,80,47,85,71,,,,,,,,,,,,,,,,,,,
644,Patricia Hall,Gsling Academy,F,FALSE,7,FALSE,26,Lawyer,80,90,85,89,85,80,68,,,,,,,,,,,,,,,,,,,
645,Ryan Williams,Digital Fortress,M,FALSE,7,FALSE,0,Business Owner,82,74,92,50,77,98,100,,,,,,,,,,,,,,,,,,,
646,Levi Mason,Digital Fortress,M,FALSE,1,FALSE,18,Software Engineer,89,64,72,61,75,68,83,,,,,,,,,,,,,,,,,,,
647,Michael Vang,Digital Fortress,M,FALSE,4,FALSE,20,Software Engineer,89,79,75,80,97,94,68,,,,,,,,,,,,,,,,,,,
648,April Humphrey,Gsling Academy,F,FALSE,0,FALSE,23,Software Engineer,86,89,94,95,60,90,90,,,,,,,,,,,,,,,,,,,
649,Steven Hancock,Digital Fortress,M,TRUE,4,FALSE,4,Business Owner,65,76,92,86,93,61,97,,,,,,,,,,,,,,,,,,,
650,Chelsea Olson,Gsling Academy,F,FALSE,4,FALSE,30,Banker,77,95,77,84,60,90,89,,,,,,,,,,,,,,,,,,,
651,Emily Huang,Gsling Academy,F,FALSE,4,FALSE,34,Banker,88,85,68,62,64,99,66,,,,,,,,,,,,,,,,,,,
652,Rachel Jones,Gsling Academy,F,FALSE,1,FALSE,26,Accountant,98,77,94,87,44,85,61,,,,,,,,,,,,,,,,,,,
653,Philip Walker,Gsling Academy,M,FALSE,5,FALSE,27,Lawyer,84,86,90,80,72,99,85,,,,,,,,,,,,,,,,,,,
654,Laura Rivera,Digital Fortress,F,FALSE,1,TRUE,18,Software Engineer,91,85,66,83,70,71,80,,,,,,,,,,,,,,,,,,,
655,Pamela Henry,Gsling Academy,F,FALSE,4,FALSE,39,Doctor,97,95,94,90,86,85,95,,,,,,,,,,,,,,,,,,,
656,Nicole Davidson,Digital Fortress,F,FALSE,7,TRUE,29,Banker,77,88,63,87,71,93,84,,,,,,,,,,,,,,,,,,,
657,Jeffery Parker,Digital Fortress,M,FALSE,0,TRUE,27,Doctor,100,84,93,96,97,70,95,,,,,,,,,,,,,,,,,,,
658,Christopher Banks,Gsling Academy,M,TRUE,3,TRUE,17,Software Engineer,93,70,62,99,63,83,60,,,,,,,,,,,,,,,,,,,
659,Tara Griffin,Digital Fortress,F,TRUE,5,TRUE,31,Banker,93,99,79,78,64,87,76,,,,,,,,,,,,,,,,,,,
660,Lisa Lloyd,Gsling Academy,F,TRUE,4,FALSE,13,Banker,94,89,74,75,73,78,61,,,,,,,,,,,,,,,,,,,
661,Elizabeth Maldonado,Gsling Academy,F,FALSE,4,TRUE,12,Banker,88,86,79,93,68,92,99,,,,,,,,,,,,,,,,,,,
662,Samuel Anderson,Gsling Academy,M,TRUE,10,FALSE,0,Business Owner,93,95,94,70,83,86,94,,,,,,,,,,,,,,,,,,,
663,Xavier Johnson,Gsling Academy,M,FALSE,2,TRUE,21,Construction Engineer,83,75,84,68,95,80,88,,,,,,,,,,,,,,,,,,,
664,Lauren Cordova,Gsling Academy,F,TRUE,3,FALSE,28,Lawyer,96,93,100,96,97,81,72,,,,,,,,,,,,,,,,,,,
665,Amanda Hawkins,Gsling Academy,F,TRUE,8,FALSE,35,Accountant,87,88,93,88,96,85,94,,,,,,,,,,,,,,,,,,,
666,Donald Coleman,Digital Fortress,M,FALSE,9,TRUE,24,Lawyer,95,82,84,69,63,85,69,,,,,,,,,,,,,,,,,,,
667,Phillip Bennett,Gsling Academy,M,FALSE,1,FALSE,28,Accountant,87,87,86,84,66,83,81,,,,,,,,,,,,,,,,,,,
668,John George,Digital Fortress,M,FALSE,9,FALSE,0,Business Owner,43,95,64,95,66,67,74,,,,,,,,,,,,,,,,,,,
669,Katherine Moore,Gsling Academy,F,TRUE,6,FALSE,0,Business Owner,40,100,88,79,71,86,89,,,,,,,,,,,,,,,,,,,
670,Jose Dominguez,Gsling Academy,M,FALSE,2,FALSE,3,Real Estate Developer,64,70,98,82,100,72,78,,,,,,,,,,,,,,,,,,,
671,Lauren Morrow,Digital Fortress,F,FALSE,3,FALSE,16,Unknown,72,79,95,68,75,70,88,,,,,,,,,,,,,,,,,,,
672,Katie Davenport,Gsling Academy,F,FALSE,2,FALSE,26,Lawyer,77,96,86,84,90,85,91,,,,,,,,,,,,,,,,,,,
673,Michelle Martinez,Gsling Academy,F,TRUE,10,TRUE,4,Business Owner,40,86,53,63,50,87,77,,,,,,,,,,,,,,,,,,,
674,Jeremiah Stanley,Gsling Academy,M,FALSE,2,FALSE,24,Construction Engineer,100,89,90,96,72,90,86,,,,,,,,,,,,,,,,,,,
675,Isaac Tucker,Gsling Academy,M,FALSE,5,TRUE,22,Software Engineer,89,93,95,88,72,76,71,,,,,,,,,,,,,,,,,,,
676,Hannah Garcia,Gsling Academy,F,TRUE,2,FALSE,14,Software Engineer,97,74,76,72,62,69,90,,,,,,,,,,,,,,,,,,,
677,Thomas Nelson,Digital Fortress,M,FALSE,2,FALSE,21,Unknown,100,77,74,61,81,96,96,,,,,,,,,,,,,,,,,,,
678,William Kennedy,Gsling Academy,M,FALSE,4,FALSE,29,Lawyer,81,88,85,89,81,91,98,,,,,,,,,,,,,,,,,,,
679,Jennifer Williams,Gsling Academy,F,FALSE,6,FALSE,3,Business Owner,100,91,53,78,55,91,74,,,,,,,,,,,,,,,,,,,
680,Jeffrey Price,Gsling Academy,M,FALSE,2,FALSE,4,Designer,80,65,96,73,84,92,73,,,,,,,,,,,,,,,,,,,
681,Zachary Burns,Digital Fortress,M,FALSE,5,FALSE,19,Accountant,79,88,83,84,78,72,79,,,,,,,,,,,,,,,,,,,
682,Curtis Duffy,Gsling Academy,M,FALSE,3,FALSE,33,Software Engineer,96,64,100,87,88,60,62,,,,,,,,,,,,,,,,,,,
683,Allison Alvarado,Digital Fortress,F,FALSE,1,FALSE,24,Accountant,95,81,91,62,36,79,69,,,,,,,,,,,,,,,,,,,
684,Jeffery Kelley,Digital Fortress,M,FALSE,4,FALSE,29,Unknown,86,68,65,64,95,82,87,,,,,,,,,,,,,,,,,,,
685,Kenneth Clark,Digital Fortress,M,FALSE,1,TRUE,27,Lawyer,86,97,72,90,95,99,76,,,,,,,,,,,,,,,,,,,
686,Hayley Case,Digital Fortress,F,FALSE,2,FALSE,20,Unknown,87,68,66,83,92,81,80,,,,,,,,,,,,,,,,,,,
687,Vanessa Martinez,Gsling Academy,F,FALSE,0,FALSE,35,Accountant,94,87,100,90,86,86,90,,,,,,,,,,,,,,,,,,,
688,Tara Thomas,Gsling Academy,F,FALSE,0,FALSE,29,Doctor,88,71,87,85,100,78,78,,,,,,,,,,,,,,,,,,,
689,Aaron Williamson,Gsling Academy,M,FALSE,2,TRUE,0,Artist,88,69,76,64,90,78,80,,,,,,,,,,,,,,,,,,,
690,Phillip Nelson,Gsling Academy,M,FALSE,3,FALSE,10,Unknown,76,61,68,88,86,87,66,,,,,,,,,,,,,,,,,,,
691,Michael Hinton,Gsling Academy,M,FALSE,1,TRUE,29,Construction Engineer,84,66,99,80,71,88,89,,,,,,,,,,,,,,,,,,,
692,Alex Shelton,Digital Fortress,M,FALSE,0,TRUE,17,Software Engineer,96,77,91,85,69,91,91,,,,,,,,,,,,,,,,,,,
693,Ross Esparza,Gsling Academy,M,TRUE,10,FALSE,1,Business Owner,57,75,64,85,53,95,81,,,,,,,,,,,,,,,,,,,
694,Lisa Murphy,Digital Fortress,F,FALSE,1,FALSE,14,Teacher,93,79,82,67,64,90,65,,,,,,,,,,,,,,,,,,,
695,Richard Gibson,Gsling Academy,M,FALSE,1,FALSE,24,Unknown,88,84,61,61,79,62,99,,,,,,,,,,,,,,,,,,,
696,Jackson Olson,Digital Fortress,M,FALSE,2,FALSE,35,Construction Engineer,89,99,86,97,98,97,93,,,,,,,,,,,,,,,,,,,
697,Michael Waters,Digital Fortress,M,FALSE,3,FALSE,19,Construction Engineer,80,88,94,94,100,99,99,,,,,,,,,,,,,,,,,,,
698,Daniel Mcneil,Gsling Academy,M,FALSE,6,FALSE,23,Banker,94,92,61,87,61,94,69,,,,,,,,,,,,,,,,,,,
699,James Mcgee,Digital Fortress,M,FALSE,9,FALSE,14,Construction Engineer,99,74,98,69,69,64,96,,,,,,,,,,,,,,,,,,,
700,Dennis Park,Digital Fortress,M,FALSE,2,FALSE,21,Banker,81,72,87,62,69,93,72,,,,,,,,,,,,,,,,,,,
701,Gregory Jones,Gsling Academy,M,FALSE,6,FALSE,18,Unknown,91,61,95,82,77,87,95,,,,,,,,,,,,,,,,,,,
702,Barbara Petersen,Digital Fortress,F,FALSE,2,TRUE,16,Writer,71,100,99,95,91,96,96,,,,,,,,,,,,,,,,,,,
703,Andrea Baker,Digital Fortress,F,FALSE,4,FALSE,2,Unknown,61,66,78,79,79,96,81,,,,,,,,,,,,,,,,,,,
704,Robert Holmes,Gsling Academy,M,FALSE,5,TRUE,16,Unknown,87,89,60,66,79,81,65,,,,,,,,,,,,,,,,,,,
705,Autumn Jones,Digital Fortress,F,FALSE,0,FALSE,29,Software Engineer,93,69,79,78,77,73,77,,,,,,,,,,,,,,,,,,,
706,Richard Davis,Digital Fortress,M,FALSE,5,FALSE,35,Accountant,92,88,87,98,96,85,96,,,,,,,,,,,,,,,,,,,
707,Anthony Armstrong,Digital Fortress,M,FALSE,2,FALSE,11,Banker,96,87,99,65,98,79,93,,,,,,,,,,,,,,,,,,,
708,Julian Ortiz,Digital Fortress,M,FALSE,3,FALSE,4,Artist,83,75,77,61,93,61,75,,,,,,,,,,,,,,,,,,,
709,Melinda Sanchez,Digital Fortress,F,FALSE,0,FALSE,15,Teacher,78,84,79,96,76,71,71,,,,,,,,,,,,,,,,,,,
710,James Carter,Digital Fortress,M,TRUE,10,FALSE,25,Banker,82,74,84,74,86,81,100,,,,,,,,,,,,,,,,,,,
711,Alejandra Johns,Gsling Academy,F,FALSE,1,FALSE,31,Accountant,94,91,68,61,34,60,63,,,,,,,,,,,,,,,,,,,
712,Susan Long,Digital Fortress,F,FALSE,7,FALSE,30,Doctor,93,73,97,89,88,63,70,,,,,,,,,,,,,,,,,,,
